creator_id,name,monthly_listeners
60,The Joe Rogan Experience,190000000
61,My Favorite Murder,34000000
62,Reply All,5000000
63,Stuff You Should Know,30000000
64,WTF With Marc Maron,46000
65,Joji,15285813
66,The Chairs,9488538
67,Ant Saunders,2942115
68,Pitbull,21297067
69,Shawn Mendes,50834812
